text,airline_sentiment
@VirginAmerica What @dhepburn said.,neutral
@VirginAmerica I didn't today... Must mean I need to take another trip!,neutral
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",neutral
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,neutral
@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,neutral
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral
@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,neutral
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,neutral
Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,neutral
@VirginAmerica when can I book my flight to Hawaii??,neutral
@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,neutral
@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,neutral
@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,neutral
@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,neutral
@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,neutral
@VirginAmerica @ladygaga @carrieunderwood All were entertaining,neutral
"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",neutral
@VirginAmerica wish you flew out of Atlanta... Soon?,neutral
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,neutral
@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,neutral
@VirginAmerica @ladygaga @carrieunderwood - Carrie!,neutral
@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,neutral
@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,neutral
"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",neutral
"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",neutral
